Year,State,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Insolvent?,R2_NextYear,R1_normal,R2_normal,R3_normal,R4_normal,R5_normal,R6_normal,R7_normal,R8_normal,R9_normal,R10_normal,R11_normal,R12_normal,R13_normal
2013,PR,101,101,1,0,89,7.7,13,13,36,2,-14,-23,-17,Solvent,90,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,PR,90,90,-18,0,95,7.6,-7,-7,38,1,-13,-21,-16,Solvent,78,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,PR,78,78,-18,0,105,7.9,-5,-5,39,1,-29,-30,-26,Solvent,69,1,1,1,1,0,0,1,1,1,1,1,1,1
2006,RI,106,68,115,2,61,4.8,16,16,69,19,-4,20,94,Solvent,61,1,1,0,1,1,1,1,1,1,1,1,0,0
2007,RI,106,61,5,2,61,5.1,17,17,65,17,12,6,25,Solvent,49,1,1,1,1,1,1,1,1,1,1,1,1,0
2008,RI,91,49,-4,3,56,5.4,18,18,61,14,-4,12,2,Solvent,48,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,RI,90,48,1,3,66,5.1,3,3,63,14,-9,-9,-18,Solvent,46,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,RI,81,46,14,3,64,4.6,19,19,60,13,-4,-7,-1,Solvent,37,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,RI,74,37,-9,1,55,3.8,13,13,62,12,-7,-7,-9,Solvent,43,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,RI,86,43,12,1,83,3.4,-3,-3,61,13,-8,-9,-11,Solvent,43,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,RI,82,43,14,1,86,3.1,14,14,72,12,2,-5,-14,Solvent,31,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,RI,66,31,-13,1,67,2.7,22,22,51,9,-1,5,10,Solvent,28,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,RI,58,28,0,0,65,2.5,11,11,51,8,-4,-5,1,Solvent,28,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,GA,46,44,-17,0,74,3.9,15,15,24,4,-7,2,0,Solvent,34,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,GA,35,34,-17,0,63,4.7,10,10,18,0,-1,-8,0,Solvent,26,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,GA,27,26,-18,0,65,4.5,8,8,16,0,-1,-2,-2,Solvent,3,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,GA,91,60,81,0,88,3.7,40,-12,49,0,8,1,0,Solvent,55,1,1,0,1,1,1,1,0,1,1,1,1,1
2009,GA,141,96,-5,0,97,3.4,-28,-33,77,0,-8,7,-67,Solvent,73,1,1,1,1,1,1,0,0,1,1,1,1,1
2010,GA,102,73,3,0,82,2.1,37,36,71,0,-14,-15,-50,Solvent,55,1,1,1,1,1,0,1,0,1,1,1,1,1
2006,MA,202,156,4,0,90,5.1,11,11,65,2,-6,-5,-2,Insolvent,139,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,MA,186,139,3,0,87,5.1,16,16,62,1,-14,-12,-6,Insolvent,123,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,MA,175,123,-14,0,86,5,-2,-2,57,1,-13,-21,-8,Insolvent,144,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,MA,189,144,13,0,90,4.8,-4,-4,58,1,-5,-16,-9,Insolvent,143,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,MA,197,143,-6,0,93,4.5,-5,-5,60,1,-6,-9,-12,Solvent,92,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,MA,146,92,-30,0,95,4.3,8,8,53,1,-4,-6,-7,Insolvent,133,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,MA,206,133,16,0,103,4.2,-20,-20,93,7,-1,-4,1,Insolvent,136,1,1,1,1,0,1,0,0,1,1,1,1,1
2013,MA,214,136,6,0,100,3.9,4,4,73,6,-4,-3,4,Insolvent,140,1,1,1,1,0,1,1,1,1,1,1,1,1
2014,MA,216,140,7,0,92,2.7,4,4,70,3,-3,-6,1,Insolvent,138,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,MA,207,138,5,0,94,2.2,6,6,68,3,0,-2,1,Insolvent,163,1,1,1,1,1,0,1,1,1,1,1,1,1
2009,DE,1,1,999,0,0,3.1,7,7,12,1,-1,-3,0,Solvent,3,1,1,0,1,1,1,1,1,1,1,1,1,1
2014,CT,217,217,999,0,95,3.4,235,10,74,7,478,400,0,Solvent,52,1,1,0,1,1,1,0,1,1,1,0,0,1
2015,CT,51,52,-72,0,90,3.1,16,16,78,4,-4,466,-105,Solvent,42,1,1,0,1,1,1,1,1,1,1,1,0,1
2006,VT,102,80,-5,1,78,3.8,18,17,72,6,2,-1,-43,Solvent,55,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,VT,84,55,-18,2,76,4.5,18,21,70,7,1,3,-43,Solvent,49,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,VT,75,49,1,2,70,4.8,12,16,69,6,1,-1,-36,Solvent,54,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,VT,76,54,6,3,68,4.7,-4,-1,74,7,0,-2,-17,Solvent,44,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,VT,63,44,-1,2,70,4.5,23,26,68,5,0,0,-3,Solvent,43,1,1,1,1,1,1,1,0,1,1,1,1,1
2011,VT,59,43,5,2,77,3.8,8,11,68,5,1,1,-16,Solvent,42,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,VT,57,42,5,2,81,3.5,6,8,68,5,-3,-11,-14,Solvent,44,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,VT,58,44,9,2,82,3.1,6,8,69,5,-1,-11,-11,Solvent,49,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,VT,64,49,12,2,82,2.8,0,3,74,6,0,-9,-3,Solvent,49,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,VT,62,49,12,2,81,2.8,11,12,74,5,0,-11,4,Solvent,51,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,NY,8,2,-39,0,0,4.3,3,3,33,0,0,-2,0,Solvent,2,1,1,0,1,1,1,1,1,1,1,1,1,1
2007,NY,8,2,-2,0,0,4.8,2,2,35,0,0,0,0,Solvent,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,NY,7,1,-33,0,0,4.8,2,2,36,0,0,0,0,Solvent,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2009,NY,2,0,-69,0,0,4.8,-1,-1,37,0,0,0,0,Solvent,0,1,1,0,1,1,1,1,1,1,1,1,1,1
