Year,State,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,Insolvent?,R2_NextYear,R1_normal,R2_normal,R3_normal,R4_normal,R5_normal,R6_normal,R7_normal,R8_normal,R9_normal,R10_normal,R11_normal,R12_normal,R13_normal
2013,NV,155,137,0,0,88,5.4,73,72,91,1,-38,-61,-34,Insolvent,316,1,1,1,1,1,1,0,0,1,1,1,1,1
2014,NV,440,316,21,0,114,5.3,-37,-52,126,0,-9,-25,-45,Insolvent,143,1,0,1,1,0,1,0,0,0,1,1,1,1
2015,NV,164,143,7,0,97,3,137,116,108,38,-15,-55,126,Insolvent,166,1,1,1,1,1,0,0,0,0,1,1,1,0
2006,OH,106,27,507,19,119,2.9,4,4,44,5,-6,-2,3,Solvent,31,1,1,0,0,0,0,1,1,1,1,1,1,1
2007,OH,113,31,12,16,65,2.9,0,0,42,7,-5,-8,-6,Solvent,36,1,1,1,0,1,0,1,1,1,1,1,1,1
2008,OH,121,36,18,17,63,6.6,0,0,45,8,-3,-4,-5,Solvent,35,1,1,1,0,1,0,1,1,1,1,1,1,1
2009,OH,127,35,0,19,58,4.2,2,2,46,8,-4,-2,-5,Solvent,32,1,1,1,0,1,1,1,1,1,1,1,1,1
2010,OH,109,32,-7,16,61,2.4,3,3,40,6,-4,-3,-3,Solvent,37,1,1,1,0,1,0,1,1,1,1,1,1,1
2011,OH,118,37,15,18,63,2.4,-1,-1,38,6,-5,-6,-6,Solvent,32,1,1,1,0,1,0,1,1,1,1,1,1,1
2012,OH,106,32,-9,15,59,4.4,4,4,36,6,-6,-7,-6,Solvent,35,1,1,1,0,1,1,1,1,1,1,1,1,1
2013,OH,109,35,10,16,60,1.9,0,0,36,6,-6,-7,-5,Solvent,37,1,1,1,0,1,0,1,1,1,1,1,1,1
2014,OH,111,37,4,17,66,1.7,1,1,32,6,-5,-7,-5,Solvent,36,1,1,1,0,1,0,1,1,1,1,1,1,1
2015,OH,112,36,-3,17,73,1.9,-2,-2,33,6,-7,-8,-7,Solvent,38,1,1,1,0,1,0,1,1,1,1,1,1,1
2007,TX,15,10,999,0,-31,3.5,999,999,14,5,0,0,0,Insolvent,140,1,1,0,1,1,1,0,0,1,1,1,1,1
2008,TX,172,140,999,0,83,4.5,7,-13,58,6,-1,0,0,Insolvent,148,1,1,0,1,1,1,1,0,1,1,1,1,1
2009,TX,183,148,76,0,88,4.6,67,-16,68,8,0,-1,-40,Insolvent,167,1,1,0,1,1,1,0,0,1,1,1,1,1
2009,IA,0,0,0,0,0,4,125,4,0,0,0,0,0,Insolvent,200,1,1,1,1,1,1,0,1,1,1,1,1,1
2010,IA,200,200,999,0,91,4.1,2,2,64,9,43,43,0,Insolvent,103,1,1,0,1,1,1,1,1,1,1,0,0,1
2011,IA,104,103,-44,0,92,4.4,7,7,60,8,-3,3,-6,Solvent,98,1,1,0,1,1,1,1,1,1,1,1,1,1
2012,IA,99,98,4,0,97,4.4,9,9,54,7,-6,-3,-7,Insolvent,105,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,IA,106,105,13,0,93,3.8,6,6,56,4,-3,-5,-11,Insolvent,107,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,AZ,0,0,0,0,0,5.7,999,999,0,0,0,0,0,Solvent,0,1,1,1,1,1,1,0,0,1,1,1,1,1
2010,AZ,0,0,0,0,0,3.9,1,0,1,0,0,0,0,Insolvent,103,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,AZ,103,103,999,0,43,3.2,22,22,55,12,0,-1,0,Solvent,60,1,1,0,1,1,1,1,1,1,1,1,1,1
2008,HI,229,128,10,0,80,4.4,-26,-1,66,13,1,0,11,Solvent,97,1,1,1,1,1,1,0,1,1,1,1,1,1
2009,HI,186,97,-12,0,88,3.5,16,16,61,3,3,0,12,Insolvent,110,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,HI,185,110,19,0,81,3.3,6,16,57,2,-3,3,8,Solvent,67,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,HI,133,84,2,0,85,1.9,8,8,52,0,1,1,-3,Solvent,89,1,1,1,1,1,0,1,1,1,1,1,1,1
2010,NC,129,46,-29,6,88,1.7,8,1,53,3,0,1,-31,Solvent,54,1,1,1,1,1,0,1,1,1,1,1,1,1
2011,NC,147,54,28,6,87,1.6,7,7,49,2,-5,-4,2,Solvent,87,1,1,1,1,1,0,1,1,1,1,1,1,1
2012,NC,233,87,59,12,94,1.2,-1,-1,67,10,2,-11,-3,Solvent,88,1,1,0,1,1,0,1,1,1,1,1,1,1
2013,NC,231,88,60,11,108,1,58,-12,67,6,10,6,0,Insolvent,248,1,1,0,1,0,0,0,0,1,1,1,1,1
2014,NC,322,248,399,5,78,1.4,78,74,73,7,-8,2,110,Insolvent,111,1,1,0,1,1,0,0,0,1,1,1,1,0
2015,NC,217,111,-46,8,71,1.2,21,21,86,11,-19,-13,-39,Insolvent,104,1,1,0,1,1,0,1,1,1,1,1,1,1
2007,MI,57,11,999,1,-3,2.3,999,999,14,0,0,0,0,Solvent,28,1,1,0,1,1,0,0,0,1,1,1,1,1
2008,MI,361,28,169,3,78,5.8,29,29,60,8,-2,0,0,Solvent,39,1,1,0,1,1,1,1,0,1,1,1,1,1
2009,MI,430,39,48,3,81,3.4,6,6,65,8,1,-2,1,Solvent,35,1,1,0,1,1,1,1,1,1,1,1,1,1
2008,NH,149,149,999,0,95,2.4,-15,-15,62,2,0,0,0,Insolvent,105,1,1,0,1,1,0,0,0,1,1,1,1,1
2009,NH,105,105,-33,0,98,2.8,-5,-5,71,3,-2,0,-34,Insolvent,118,1,1,0,1,1,0,1,1,1,1,1,1,1
2010,NH,138,118,13,0,100,2.8,0,0,77,2,-3,-4,-42,Insolvent,148,1,1,1,1,0,0,1,1,1,1,1,1,1
2011,NH,178,148,17,1,102,3.5,-6,-6,82,2,-2,-4,-30,Insolvent,110,1,1,1,1,0,1,1,1,1,1,1,1,1
2012,NH,131,110,9,0,106,3.4,47,4,88,2,1,-3,-9,Insolvent,110,1,1,1,1,0,1,1,1,1,1,1,1,1
2013,NH,116,110,3,0,104,2.6,3,3,88,2,2,4,-3,Insolvent,124,1,1,1,1,0,0,1,1,1,1,1,1,1
2014,NH,129,124,11,1,103,2.3,-2,-2,94,4,7,7,-2,Insolvent,114,1,1,1,1,0,0,1,1,1,1,1,1,1
2015,NH,125,114,1,1,98,2.3,9,9,92,5,0,8,-3,Insolvent,104,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,NY,635,113,1,0,81,4.6,16,16,84,36,3,10,-6,Solvent,87,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,NY,544,87,-4,0,76,4.9,24,24,80,29,-3,3,-14,Solvent,70,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,NY,507,70,-4,0,67,5.1,20,20,76,28,-4,-7,-12,Solvent,61,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,NY,498,61,-3,0,69,5.1,12,12,75,32,-4,-9,-12,Solvent,48,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,NY,418,48,-6,0,68,5.1,19,19,69,27,-8,-12,-12,Solvent,42,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,NY,389,42,-1,0,66,5,14,14,67,28,-3,-10,-10,Solvent,40,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,NY,383,40,3,0,71,4.9,9,9,67,29,-2,-5,-5,Solvent,39,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,NY,403,39,2,0,76,4.4,4,4,71,34,-2,-4,-3,Solvent,36,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,NY,339,36,4,0,69,3.9,13,13,61,24,-2,-4,2,Solvent,33,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,NY,308,33,4,0,65,3.5,11,11,61,28,-2,-4,2,Solvent,32,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,WV,24,24,999,0,118,0.5,999,999,101,11,0,0,0,Solvent,47,1,1,0,1,0,0,0,0,1,1,1,1,1
2008,WV,47,47,283,0,103,5.3,93,-2,82,6,-3,0,0,Solvent,67,1,1,0,1,0,1,0,1,1,1,1,1,1
2009,WV,67,67,97,0,100,2.9,39,0,69,5,12,-9,-9,Solvent,71,1,1,0,1,0,0,1,1,1,1,1,1,1
2010,WV,71,71,19,0,101,0.1,12,-1,68,3,-2,-7,-37,Solvent,73,1,1,1,1,0,0,1,1,1,1,1,1,1
2011,WV,76,73,34,0,86,1.5,32,25,66,4,-28,-31,-50,Solvent,59,1,1,0,1,1,0,1,0,1,1,1,1,1
2012,WV,62,59,2,0,72,2.1,26,23,57,0,-29,-57,-42,Solvent,43,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,WV,45,43,0,0,55,2.2,36,36,51,0,-13,-55,-33,Solvent,35,1,1,1,1,1,0,1,0,1,1,1,1,1
2006,CA,280,277,-8,0,97,3.1,-1,-1,83,8,-2,-2,21,Insolvent,241,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,MA,249,247,999,0,74,5.8,21,21,69,1,-9,0,0,Insolvent,131,1,1,0,1,1,1,1,1,1,1,1,1,1
2009,MA,148,131,-39,0,78,5,16,16,63,0,-9,-18,-12,Insolvent,114,1,1,0,1,1,1,1,1,1,1,1,1,1
2010,MA,146,114,-4,0,87,4.3,11,11,60,0,-9,-17,-15,Insolvent,113,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,MA,158,113,8,0,88,4,9,9,59,0,-9,-18,-5,Insolvent,123,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,MA,185,123,8,0,94,3.9,-1,-1,59,0,-6,-15,-1,Insolvent,122,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,MA,198,122,7,0,95,3.4,8,8,58,0,-3,-9,-2,Insolvent,119,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,MA,202,119,5,0,90,2.9,7,7,57,0,-4,-7,-5,Insolvent,118,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,MA,222,118,5,0,91,2.7,6,6,56,1,-5,-10,-8,Insolvent,127,1,1,1,1,1,0,1,1,1,1,1,1,1
2008,GA,83,83,999,0,84,6.1,999,999,30,0,0,0,0,Insolvent,120,1,1,0,1,1,1,0,0,1,1,1,1,1
2009,GA,120,120,1,0,87,2.5,-31,-31,54,0,0,0,-48,Solvent,84,1,1,1,1,1,0,0,0,1,1,1,1,1
2010,GA,84,84,-5,0,84,2.7,35,35,50,0,-14,-10,-44,Solvent,65,1,1,1,1,1,0,1,0,1,1,1,1,1
2011,GA,65,65,-4,0,74,2.1,25,25,44,0,-15,-35,-20,Solvent,57,1,1,1,1,1,0,1,0,1,1,1,1,1
2012,GA,57,57,2,0,74,2.5,16,16,43,1,-9,-27,-17,Solvent,60,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,GA,60,60,9,0,88,2.1,3,3,48,1,-21,-23,-38,Solvent,62,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,GA,62,62,1,0,99,1.9,-2,-2,52,0,3,-19,-26,Solvent,49,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,GA,49,49,5,0,74,2.6,31,31,41,0,-27,-25,-4,Solvent,51,1,1,1,1,1,0,1,0,1,1,1,1,1
2008,FL,1,1,999,0,-99,15.6,999,999,3,0,0,0,0,Solvent,45,1,1,0,1,1,0,0,0,1,1,1,1,1
2009,FL,49,45,1327,0,133,3.7,63,-55,28,1,0,0,0,Insolvent,139,1,1,0,1,0,1,0,0,1,1,1,1,1
2010,FL,157,139,490,0,89,2.8,93,-17,49,4,-2,0,0,Insolvent,145,1,1,0,1,1,0,0,0,1,1,1,1,1
2011,FL,166,145,102,0,85,2.6,95,19,56,3,1,-2,-11,Insolvent,143,1,1,0,1,1,0,0,1,1,1,1,1,1
2012,FL,167,143,55,0,85,2.7,57,9,58,3,0,4,-9,Insolvent,137,1,1,0,1,1,0,0,1,1,1,1,1,1
2013,FL,161,137,41,0,84,2.4,47,12,58,4,0,1,-5,Insolvent,134,1,1,0,1,1,0,1,1,1,1,1,1,1
2014,FL,159,134,17,0,83,2.1,19,15,60,4,-6,-2,-13,Insolvent,124,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,FL,146,124,9,0,82,2.2,17,17,58,2,-4,-11,-12,Insolvent,115,1,1,1,1,1,0,1,1,1,1,1,1,1
2006,NY,35,32,19,3,0,3.9,-1,-2,68,0,1,-1,-1,Solvent,31,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,NY,38,31,-6,3,0,4.1,-3,-3,72,0,-1,2,1,Insolvent,119,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,NY,159,119,-12,22,373,4.2,-77,-78,99,0,-1,-1,-99,Solvent,0,1,1,1,0,0,1,0,0,1,1,1,1,1
2011,NY,999,999,-17,999,1249,2.5,-99,-99,223,0,999,366,0,Insolvent,999,0,0,1,0,0,0,0,0,0,1,0,0,1
2012,NY,999,999,-13,0,1032,1.9,-99,-99,278,0,999,999,999,Insolvent,999,0,0,1,1,0,0,0,0,0,1,0,0,0
2013,NY,999,999,2,0,207,2.3,-99,-99,232,0,58,23,0,Solvent,70,0,0,1,1,0,0,0,0,0,1,0,0,1
2014,NY,57,70,-36,0,0,2.6,999,999,98,0,112,141,-115,Solvent,24,1,1,0,1,1,0,0,0,1,1,0,0,1
2015,NY,26,24,-65,0,0,3.1,0,0,99,0,-176,121,-260,Solvent,18,1,1,0,1,1,1,1,1,1,1,1,0,1
2008,MI,134,127,999,0,103,9.5,999,999,52,0,0,0,0,Insolvent,112,1,1,0,1,0,0,0,0,1,1,1,1,1
2009,MI,121,112,-34,0,109,4.7,-26,-26,65,1,8,0,-81,Solvent,96,1,1,0,1,0,1,0,0,1,1,1,1,1
2010,MI,105,96,-3,0,105,3.9,14,14,62,0,4,8,-40,Solvent,90,1,1,1,1,0,1,1,1,1,1,1,1,1
2013,MI,158,142,26,0,98,4,11,11,75,11,-20,-29,26,Insolvent,132,1,1,1,1,1,1,1,1,1,1,1,1,0
2014,MI,145,132,17,0,90,3.9,26,26,70,6,-11,-23,7,Solvent,94,1,1,1,1,1,1,1,0,1,1,1,1,1
2015,MI,102,94,15,0,71,4.1,61,61,59,6,-28,-29,2,Solvent,81,1,1,1,1,1,1,0,0,1,1,1,1,1
2008,TN,305,305,999,0,83,5.5,23,23,47,1,0,0,0,Insolvent,278,1,0,0,1,1,1,1,1,1,1,1,1,1
2009,TN,603,278,-19,0,90,3.9,-11,-11,57,0,-5,0,-38,Insolvent,171,1,1,1,1,1,1,0,0,1,1,1,1,1
2010,TN,306,171,-33,0,97,3.2,9,9,49,0,-15,-7,-29,Insolvent,163,1,1,0,1,1,1,1,1,1,1,1,1,1
2011,TN,286,163,-6,0,97,3.7,-1,-1,49,0,-5,-15,-13,Insolvent,177,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,TN,317,177,-6,0,105,3.6,-14,-14,55,6,3,-1,-3,Insolvent,260,1,1,1,1,0,1,0,0,1,1,1,1,1
2013,TN,463,260,13,0,108,3.5,-23,-23,64,10,4,6,2,Insolvent,259,1,1,1,1,0,1,0,0,1,1,1,1,1
2014,TN,460,259,6,0,102,2.7,6,6,64,7,-4,6,2,Insolvent,180,1,1,1,1,0,0,1,1,1,1,1,1,1
2015,TN,309,180,14,0,99,2.2,65,0,59,10,-6,-4,-6,Insolvent,228,1,1,1,1,1,0,0,1,1,1,1,1,1
2006,TX,471,128,48,38,89,3,7,7,65,7,3,0,2,Solvent,70,1,1,0,0,1,0,1,1,1,1,1,1,1
2007,TX,515,70,-38,40,90,3.1,12,12,72,10,-3,0,8,Solvent,65,1,1,0,0,1,1,1,1,1,1,1,1,1
2008,TX,491,65,3,41,94,3,12,12,66,8,0,-2,3,Solvent,52,1,1,1,0,1,0,1,1,1,1,1,1,1
2009,TX,433,52,-15,38,90,0.8,6,6,70,4,0,0,1,Solvent,46,1,1,1,0,1,0,1,1,1,1,1,1,1
2010,TX,394,46,-2,33,89,2.7,10,10,66,5,1,-1,1,Solvent,46,1,1,1,0,1,0,1,1,1,1,1,1,1
2011,TX,343,46,7,37,85,2.5,8,8,61,5,-2,0,1,Solvent,37,1,1,1,0,1,0,1,1,1,1,1,1,1
2012,TX,293,37,-13,28,86,2.3,7,7,55,3,-1,-2,0,Solvent,21,1,1,1,0,1,0,1,1,1,1,1,1,1
2013,TX,307,21,-42,26,90,1.4,5,5,67,4,0,-1,-1,Solvent,27,1,1,0,0,1,0,1,1,1,1,1,1,1
2014,TX,307,27,38,28,91,1.2,5,5,75,8,0,0,0,Solvent,24,1,1,0,0,1,0,1,1,1,1,1,1,1
2015,TX,233,24,24,19,86,1.3,39,5,61,6,0,0,0,Solvent,24,1,1,1,0,1,0,1,1,1,1,1,1,1
2008,CA,178,178,999,0,88,3.9,-19,-19,55,1,0,0,0,Insolvent,154,1,1,0,1,1,1,0,0,1,1,1,1,1
2009,CA,165,154,-1,0,91,3.5,14,14,51,2,-1,0,2,Insolvent,119,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,CA,133,119,-8,0,85,2.7,18,18,52,2,5,-1,-7,Insolvent,107,1,1,1,1,1,0,1,1,1,1,1,1,1
2011,CA,119,107,-1,0,86,2.2,10,10,48,1,4,4,0,Insolvent,106,1,1,1,1,1,0,1,1,1,1,1,1,1
2008,DE,153,153,999,0,89,5.1,38,6,66,17,-7,0,0,Solvent,90,1,1,0,1,1,1,1,1,1,1,1,1,1
2008,NV,146,145,999,0,64,8.1,999,999,96,1,0,0,0,Insolvent,124,1,1,0,1,1,0,0,0,1,1,1,1,1
2009,NV,120,124,2,0,67,3.6,20,20,93,6,-29,0,-38,Solvent,74,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,NV,84,74,-26,0,77,2.9,25,25,81,10,-8,-51,-56,Solvent,73,1,1,1,1,1,0,1,0,1,1,1,1,1
2011,NV,77,73,18,0,78,2.7,19,19,74,7,-18,-31,-16,Solvent,50,1,1,1,1,1,0,1,1,1,1,1,1,1
2008,TN,90,78,999,0,74,4.2,13,13,58,0,0,0,0,Solvent,75,1,1,0,1,1,1,1,1,1,1,1,1,1
2009,TN,87,75,-10,0,83,3.5,-7,-7,62,0,2,0,-29,Solvent,62,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,TN,70,62,-6,0,88,3.2,13,13,58,0,-1,6,-21,Solvent,55,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,TN,63,55,-11,0,90,3.1,0,0,56,0,-13,-7,-13,Solvent,73,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,TN,85,73,24,0,102,3.1,-6,-6,58,0,9,-10,15,Solvent,96,1,1,1,1,0,1,1,1,1,1,1,1,1
2013,TN,104,96,18,0,110,2.7,-11,-21,62,0,-5,6,-7,Solvent,93,1,1,1,1,0,0,0,0,1,1,1,1,1
2014,TN,107,93,-16,0,117,2.7,-13,-13,68,0,-5,-11,-33,Solvent,17,1,1,1,1,0,0,0,0,1,1,1,1,1
2015,TN,20,17,-38,0,112,1.4,234,234,56,2,-9,-3,0,Solvent,61,1,1,0,1,0,0,0,0,1,1,1,1,1
2010,FL,378,192,-26,3,103,1.1,9,9,77,14,-5,2,-15,Insolvent,263,1,1,1,1,0,0,1,1,1,1,1,1,1
2011,FL,495,263,19,5,108,0.6,-14,-32,83,8,12,1,-26,Insolvent,248,1,1,1,1,0,0,0,0,1,1,1,1,1
2012,FL,510,248,-3,7,105,0.3,3,5,81,10,11,14,20,Insolvent,267,1,1,1,1,0,0,1,1,1,1,1,1,1
2013,FL,567,267,31,21,93,0.4,22,23,85,10,12,20,13,Insolvent,220,1,1,1,0,1,0,1,1,1,1,1,0,1
2014,FL,529,220,18,28,80,0.4,44,45,78,8,-4,25,12,Insolvent,192,1,1,1,0,1,0,1,0,1,1,1,0,1
2015,FL,437,192,18,25,75,0.8,35,36,70,7,-3,0,11,Insolvent,160,1,1,1,0,1,0,1,0,1,1,1,1,1
2008,IL,15,12,999,0,40,4.6,-3,-3,6,0,0,0,0,Solvent,33,1,1,0,1,1,1,1,1,1,1,1,1,1
2009,IL,44,33,188,0,90,3.1,0,0,23,0,-2,0,0,Solvent,38,1,1,0,1,1,1,1,1,1,1,1,1,1
2010,IL,54,38,7,0,94,3.5,-7,-7,30,0,-5,-3,-22,Solvent,46,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,IL,64,46,23,0,97,4.5,1,1,46,0,0,-5,-32,Solvent,46,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,IL,62,46,3,0,87,4,3,3,52,1,-8,-8,-28,Solvent,43,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,IL,57,43,5,0,74,4.6,14,14,53,0,-14,-23,-25,Solvent,39,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,IL,65,39,-5,0,73,4.4,4,4,50,0,-14,-31,-25,Solvent,44,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,IL,71,44,17,0,84,4.6,4,4,51,1,-10,-26,-7,Solvent,39,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,MT,147,104,999,0,80,7.2,999,999,42,0,0,0,0,Insolvent,125,1,1,0,1,1,0,0,0,1,1,1,1,1
2009,MT,171,125,36,0,81,2.8,13,12,65,0,-28,0,-69,Insolvent,132,1,1,0,1,1,0,1,1,1,1,1,1,1
2010,MT,226,132,3,1,110,0.8,-2,-31,133,15,1,-28,-161,Insolvent,148,1,1,1,1,0,0,1,0,0,1,1,1,1
2011,MT,195,148,19,0,119,1.3,6,1,139,58,-27,-12,-92,Insolvent,182,1,1,1,1,0,0,1,1,0,0,1,1,1
2012,MT,218,182,1,0,111,1.9,-18,-24,108,75,31,53,122,Insolvent,118,1,1,1,1,0,0,0,0,0,0,0,0,0
2006,MA,131,120,-6,0,68,5.1,19,19,56,5,-35,-38,-8,Insolvent,130,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,MA,139,130,-8,0,63,5.2,-15,-15,58,7,-10,-39,-4,Insolvent,124,1,1,1,1,1,1,0,0,1,1,1,1,1
2008,MA,137,124,-13,1,76,4.9,-9,-9,56,5,-3,-10,-6,Insolvent,111,1,1,1,1,1,1,1,1,1,1,1,1,1
2009,MA,117,111,-12,0,86,4.5,-2,-2,53,4,-3,-5,-7,Solvent,99,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,MA,101,99,-11,0,94,4.4,-1,-1,51,4,-1,-5,-5,Solvent,90,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,MA,91,90,-7,0,98,4.2,2,2,47,4,0,-3,0,Solvent,83,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,MA,83,83,-8,0,102,4,0,0,44,4,1,0,5,Solvent,70,1,1,1,1,0,1,1,1,1,1,1,1,1
2013,MA,70,70,-12,0,99,3.6,4,4,39,3,3,2,5,Solvent,60,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,MA,60,60,-14,0,96,3.3,1,1,37,2,3,5,1,Solvent,49,1,1,1,1,1,1,1,1,1,1,1,1,1
2006,LA,151,123,-2,0,91,3.6,18,2,79,12,-11,-6,-46,Solvent,100,1,1,1,1,1,1,1,1,1,1,1,1,1
2007,LA,130,100,-10,0,87,3.9,11,11,77,9,-9,-2,-40,Solvent,90,1,1,1,1,1,1,1,1,1,1,1,1,1
2010,LA,95,78,1,0,97,4.1,-1,-1,74,5,-4,-8,-22,Solvent,86,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,LA,102,86,8,0,97,3.9,-3,-3,71,2,-6,-8,5,Solvent,90,1,1,1,1,1,1,1,1,1,1,1,1,1
2012,LA,105,90,6,0,96,3.7,1,1,72,7,-12,-16,-12,Solvent,91,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,LA,107,91,6,0,94,3.5,5,5,72,4,-2,-12,-6,Solvent,93,1,1,1,1,1,1,1,1,1,1,1,1,1
2014,LA,110,93,14,0,86,3.1,12,12,68,0,-20,-19,4,Solvent,97,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,LA,109,97,8,0,82,3.1,3,3,69,2,-7,-26,8,Solvent,96,1,1,1,1,1,1,1,1,1,1,1,1,1
2008,TX,0,0,999,0,0,8,999,999,1,0,0,0,0,Solvent,15,1,1,0,1,1,0,0,0,1,1,1,1,1
2009,TX,55,15,4527,4,0,5.8,27,94,33,4,0,0,0,Solvent,17,1,1,0,1,1,1,1,0,1,1,1,1,1
2010,TX,38,17,67,5,0,3.2,46,11,34,4,0,0,0,Solvent,23,1,1,0,1,1,1,1,1,1,1,1,1,1
2011,TX,55,23,44,9,0,3.2,9,9,42,5,0,0,0,Solvent,17,1,1,0,1,1,1,1,1,1,1,1,1,1
2012,TX,52,17,-8,8,0,2.6,23,9,41,0,0,0,0,Solvent,64,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,TX,103,64,344,9,0,1.9,19,19,58,9,0,0,0,Solvent,11,1,1,0,1,1,0,1,1,1,1,1,1,1
2014,TX,112,11,-79,6,0,1.4,21,3,68,9,-1,0,-1,Solvent,14,1,1,0,1,1,0,1,1,1,1,1,1,1
2015,TX,120,14,35,5,49,1.6,5,5,76,11,0,-1,0,Solvent,17,1,1,0,1,1,0,1,1,1,1,1,1,1
2008,FL,37,11,999,3,141,0,999,999,11,2,0,0,0,Solvent,14,1,1,0,1,0,0,0,0,1,1,1,1,1
2011,FL,161,32,71,13,126,-2.3,4,-9,27,6,-1,0,0,Solvent,57,1,1,0,1,0,0,1,1,1,1,1,1,1
2012,FL,237,57,75,19,128,0,-1,-17,54,9,-2,-1,-2,Solvent,85,1,1,0,0,0,0,1,0,1,1,1,1,1
2013,FL,328,85,56,25,121,0.9,3,-19,65,19,-2,-1,-2,Insolvent,124,1,1,0,0,0,0,1,0,1,1,1,1,1
2014,FL,418,124,64,29,109,0,13,-18,66,22,2,-2,7,Insolvent,140,1,1,0,0,0,0,1,0,1,1,1,1,1
2015,FL,512,140,30,42,108,0,14,-22,67,6,3,5,14,Insolvent,140,1,1,1,0,0,0,1,0,1,1,1,1,1
2007,SC,117,15,999,0,8,0,999,999,999,117,0,0,0,Solvent,46,1,1,0,1,1,0,0,0,0,0,1,1,1
2008,TX,288,17,9,0,48,4.6,9,9,16,0,0,0,0,Solvent,13,1,1,1,1,1,1,1,1,1,1,1,1,1
2011,TX,379,12,5,8,11,2.2,12,12,8,0,0,-1,0,Solvent,12,1,1,1,1,1,0,1,1,1,1,1,1,1
2012,TX,406,12,2,7,45,1.4,1,1,14,1,10,9,3,Solvent,13,1,1,1,1,1,0,1,1,1,1,1,1,1
2013,TX,341,13,15,6,44,0.7,4,4,19,1,0,10,2,Solvent,15,1,1,1,1,1,0,1,1,1,1,1,1,1
2014,TX,259,15,18,5,36,0.6,4,4,19,1,-2,-2,0,Solvent,17,1,1,1,1,1,0,1,1,1,1,1,1,1
2015,TX,222,17,20,5,60,0.6,4,4,23,1,-1,-2,0,Solvent,22,1,1,1,1,1,0,1,1,1,1,1,1,1
2008,CA,423,387,773,0,90,5.1,-5,-5,143,21,-12,0,493,Insolvent,281,1,0,0,1,1,1,1,1,0,1,1,1,0
2009,CA,281,281,-30,0,103,3.9,2,2,95,24,-7,-13,321,Insolvent,253,1,1,1,1,0,1,1,1,1,1,1,1,0
2010,CA,253,253,-14,0,109,0.9,-4,-4,89,21,-24,-17,2,Insolvent,352,1,1,1,1,0,0,1,1,1,1,1,1,1
2011,CA,352,352,20,0,104,0.7,-14,-14,97,22,-10,-25,-20,Insolvent,270,1,0,1,1,0,0,0,0,1,1,1,1,1
2012,CA,511,270,-39,0,105,0.4,-20,-20,135,35,-3,-11,-3,Insolvent,433,1,1,0,1,0,0,0,0,0,1,1,1,1
